path_repo,link to repo,func_name,path_buggy,buggy_id,level,Label Arghavan,Final
CodeGen/slib_runnable/regex_dict,https://github.com/arghavanMor/bugs_in_LLMs/tree/master/CoderEval/CodeGen/slib_runnable/regex_dict,regex_dict,CodeGen/slib_runnable/regex_dict/buggy,buggy_0.py,slib_runnable,Input Type Mismatch/Prompt-biased code,Prompt-biased code/Wrong Input Type
Codex/slib_runnable/_c_optimizations_ignored,https://github.com/arghavanMor/bugs_in_LLMs/tree/master/CoderEval/Codex/slib_runnable/_c_optimizations_ignored,_c_optimizations_ignored,Codex/slib_runnable/_c_optimizations_ignored/buggy,buggy_3.py,slib_runnable,hallucination,hallucination
CodeGen/slib_runnable/prepare_repository_from_archive,https://github.com/arghavanMor/bugs_in_LLMs/tree/master/CoderEval/CodeGen/slib_runnable/prepare_repository_from_archive,prepare_repository_from_archive,CodeGen/slib_runnable/prepare_repository_from_archive/buggy,buggy_2.py,slib_runnable,Failure to generate code,Incomplete Generation
PanGu-Coder/slib_runnable/files_list,https://github.com/arghavanMor/bugs_in_LLMs/tree/master/CoderEval/PanGu-Coder/slib_runnable/files_list,files_list,PanGu-Coder/slib_runnable/files_list/buggy,buggy_3.py,slib_runnable,Misinterpretation ,NPC
PanGu-Coder/slib_runnable/_resolve_string,https://github.com/arghavanMor/bugs_in_LLMs/tree/master/CoderEval/PanGu-Coder/slib_runnable/_resolve_string,_resolve_string,PanGu-Coder/slib_runnable/_resolve_string/buggy,buggy_0.py,slib_runnable,wrong assumption/Wrong Attribute,syntax error/ Wrong Attribute Type
CodeGen/plib_runnable/build_app_logger,https://github.com/arghavanMor/bugs_in_LLMs/tree/master/CoderEval/CodeGen/plib_runnable/build_app_logger,build_app_logger,CodeGen/plib_runnable/build_app_logger/buggy,buggy_7.py,plib_runnable,Redundant Condition/Misinterpretation,Missing Corner Cases
PanGu-Coder/self_contained/subclasses,https://github.com/arghavanMor/bugs_in_LLMs/tree/master/CoderEval/PanGu-Coder/self_contained/subclasses,subclasses,PanGu-Coder/self_contained/subclasses/buggy,buggy_3.py,self_contained,Input Type Mismatch,Wrong Input Type
Codex/self_contained/register_vcs_handler,https://github.com/arghavanMor/bugs_in_LLMs/tree/master/CoderEval/Codex/self_contained/register_vcs_handler,register_vcs_handler,Codex/self_contained/register_vcs_handler/buggy,buggy_6.py,self_contained,hallucination,REJECTED
PanGu-Coder/self_contained/get_logical_path_map,https://github.com/arghavanMor/bugs_in_LLMs/tree/master/CoderEval/PanGu-Coder/self_contained/get_logical_path_map,get_logical_path_map,PanGu-Coder/self_contained/get_logical_path_map/buggy,buggy_0.py,self_contained,hallucination,hallucination
CodeGen/plib_runnable/list_of_file_names,https://github.com/arghavanMor/bugs_in_LLMs/tree/master/CoderEval/CodeGen/plib_runnable/list_of_file_names,list_of_file_names,CodeGen/plib_runnable/list_of_file_names/buggy,buggy_1.py,plib_runnable,Failure to generate code,REJECTED
PanGu-Coder/self_contained/subclasses,https://github.com/arghavanMor/bugs_in_LLMs/tree/master/CoderEval/PanGu-Coder/self_contained/subclasses,subclasses,PanGu-Coder/self_contained/subclasses/buggy,buggy_6.py,self_contained,Misinterpretation ,Wrong Input Type
Codex/self_contained/parser_flags#completion,https://github.com/arghavanMor/bugs_in_LLMs/tree/master/CoderEval/Codex/self_contained/parser_flags#completion,parser_flags,Codex/self_contained/parser_flags#completion/buggy,buggy_5.py,self_contained,Misinterpretation ,NPC
CodeGen/slib_runnable/make_find_paths,https://github.com/arghavanMor/bugs_in_LLMs/tree/master/CoderEval/CodeGen/slib_runnable/make_find_paths,make_find_paths,CodeGen/slib_runnable/make_find_paths/buggy,buggy_5.py,slib_runnable,Failure to generate code,Incomplete Generation
CodeGen/plib_runnable/parse_version,https://github.com/arghavanMor/bugs_in_LLMs/tree/master/CoderEval/CodeGen/plib_runnable/parse_version,parse_version,CodeGen/plib_runnable/parse_version/buggy,buggy_8.py,plib_runnable,"syntax error/Wrong Assumption about major, minor reg expr",Misinterpretation / Syntax error
CodeGen/self_contained/match_pubdate,https://github.com/arghavanMor/bugs_in_LLMs/tree/master/CoderEval/CodeGen/self_contained/match_pubdate,match_pubdate,CodeGen/self_contained/match_pubdate/buggy,buggy_0.py,self_contained,Prompt-biased code,Wrong Attribute Type / Prompt-biased code
Codex/slib_runnable/prepare_repository_from_archive,https://github.com/arghavanMor/bugs_in_LLMs/tree/master/CoderEval/Codex/slib_runnable/prepare_repository_from_archive,prepare_repository_from_archive,Codex/slib_runnable/prepare_repository_from_archive/buggy,buggy_1.py,slib_runnable,Missing Corner Case,Missing corner case / silly mistake
Codex/plib_runnable/identify_request,https://github.com/arghavanMor/bugs_in_LLMs/tree/master/CoderEval/Codex/plib_runnable/identify_request,identify_request,Codex/plib_runnable/identify_request/buggy,buggy_0.py,plib_runnable,Misinterpretation,REJECTED
PanGu-Coder/self_contained/get,https://github.com/arghavanMor/bugs_in_LLMs/tree/master/CoderEval/PanGu-Coder/self_contained/get,get,PanGu-Coder/self_contained/get/buggy,buggy_3.py,self_contained,Hallunication (wrong attribute),Wrong Attribute Type 
CodeGen/slib_runnable/cached,https://github.com/arghavanMor/bugs_in_LLMs/tree/master/CoderEval/CodeGen/slib_runnable/cached,cached,CodeGen/slib_runnable/cached/buggy,buggy_2.py,slib_runnable,Misinterpretation,REJECTED
CodeGen/plib_runnable/tzname_in_python2,https://github.com/arghavanMor/bugs_in_LLMs/tree/master/CoderEval/CodeGen/plib_runnable/tzname_in_python2,tzname_in_python2,CodeGen/plib_runnable/tzname_in_python2/buggy,buggy_1.py,plib_runnable,Misinterpretation/Hallunication (wrong attribute),Wrong Attribute Type / misinterpretation
CodeGen/self_contained/round_half_to_even,https://github.com/arghavanMor/bugs_in_LLMs/tree/master/CoderEval/CodeGen/self_contained/round_half_to_even,round_half_to_even,CodeGen/self_contained/round_half_to_even/buggy,buggy_5.py,self_contained,Misinterpretation,Misinterpretation
PanGu-Coder/self_contained/is_fill_request_el,https://github.com/arghavanMor/bugs_in_LLMs/tree/master/CoderEval/PanGu-Coder/self_contained/is_fill_request_el,is_fill_request_el,PanGu-Coder/self_contained/is_fill_request_el/buggy,buggy_2.py,self_contained,Hallunication,Hallucination
Codex/self_contained/unit_of_work,https://github.com/arghavanMor/bugs_in_LLMs/tree/master/CoderEval/Codex/self_contained/unit_of_work,unit_of_work,Codex/self_contained/unit_of_work/buggy,buggy_7.py,self_contained,Hallunication,Prompt biased
PanGu-Coder/slib_runnable/run_command,https://github.com/arghavanMor/bugs_in_LLMs/tree/master/CoderEval/PanGu-Coder/slib_runnable/run_command,run_command,PanGu-Coder/slib_runnable/run_command/buggy,buggy_4.py,slib_runnable,Misinterpretation,Misinterpretation
PanGu-Coder/slib_runnable/is_local,https://github.com/arghavanMor/bugs_in_LLMs/tree/master/CoderEval/PanGu-Coder/slib_runnable/is_local,is_local,PanGu-Coder/slib_runnable/is_local/buggy,buggy_6.py,slib_runnable,Missing Corner Case,Missing Crner case
PanGu-Coder/self_contained/unit_of_work,https://github.com/arghavanMor/bugs_in_LLMs/tree/master/CoderEval/PanGu-Coder/self_contained/unit_of_work,unit_of_work,PanGu-Coder/self_contained/unit_of_work/buggy,buggy_6.py,self_contained,Failure To Generate,Failure To Generate
PanGu-Coder/plib_runnable/is_ipv4,https://github.com/arghavanMor/bugs_in_LLMs/tree/master/CoderEval/PanGu-Coder/plib_runnable/is_ipv4,is_ipv4,PanGu-Coder/plib_runnable/is_ipv4/buggy,buggy_1.py,plib_runnable,Missing Corner Case,Missing Corner Case
Codex/self_contained/_replace_register,https://github.com/arghavanMor/bugs_in_LLMs/tree/master/CoderEval/Codex/self_contained/_replace_register,_replace_register,Codex/self_contained/_replace_register/buggy,buggy_4.py,self_contained,,Wrong Attribute Type 
CodeGen/slib_runnable/strip_root,https://github.com/arghavanMor/bugs_in_LLMs/tree/master/CoderEval/CodeGen/slib_runnable/strip_root,strip_root,CodeGen/slib_runnable/strip_root/buggy,buggy_8.py,slib_runnable,Missing Corner Case,Missing Corner Case
Codex/plib_runnable/_get_seq_with_type,https://github.com/arghavanMor/bugs_in_LLMs/tree/master/CoderEval/Codex/plib_runnable/_get_seq_with_type,_get_seq_with_type,Codex/plib_runnable/_get_seq_with_type/buggy,buggy_3.py,plib_runnable,Misinterpretation,REJECTED
CodeGen/self_contained/_replace_register,https://github.com/arghavanMor/bugs_in_LLMs/tree/master/CoderEval/CodeGen/self_contained/_replace_register,_replace_register,CodeGen/self_contained/_replace_register/buggy,buggy_1.py,self_contained,Hallunication (wrong attribute),Wrong Attribute
Codex/slib_runnable/is_local,https://github.com/arghavanMor/bugs_in_LLMs/tree/master/CoderEval/Codex/slib_runnable/is_local,is_local,Codex/slib_runnable/is_local/buggy,buggy_2.py,slib_runnable,Hallunication/Missing Corner Case,Hallunication/Missing Corner Case
Codex/plib_runnable/_dump_string,https://github.com/arghavanMor/bugs_in_LLMs/tree/master/CoderEval/Codex/plib_runnable/_dump_string,_dump_string,Codex/plib_runnable/_dump_string/buggy,buggy_3.py,plib_runnable,Misinterpretation/Synthax Error,Misinterpretation/Synthax Error
PanGu-Coder/slib_runnable/addignored,https://github.com/arghavanMor/bugs_in_LLMs/tree/master/CoderEval/PanGu-Coder/slib_runnable/addignored,addignored,PanGu-Coder/slib_runnable/addignored/buggy,buggy_2.py,slib_runnable,Misinterpretation,Misinterpretation
CodeGen/self_contained/subclasses,https://github.com/arghavanMor/bugs_in_LLMs/tree/master/CoderEval/CodeGen/self_contained/subclasses,subclasses,CodeGen/self_contained/subclasses/buggy,buggy_8.py,self_contained,Misinterpretation/Hallunication (wrong attribute),Misinterpretation/Wrong Attribute/Wrong Input Type
Codex/slib_runnable/run_command,https://github.com/arghavanMor/bugs_in_LLMs/tree/master/CoderEval/Codex/slib_runnable/run_command,run_command,Codex/slib_runnable/run_command/buggy,buggy_6.py,slib_runnable,Synthax Error,Failure To Generate
Codex/self_contained/vertex3tuple,https://github.com/arghavanMor/bugs_in_LLMs/tree/master/CoderEval/Codex/self_contained/vertex3tuple,vertex3tuple,Codex/self_contained/vertex3tuple/buggy,buggy_7.py,self_contained,Missing Corner Case,Missing Corner Case
Codex/plib_runnable/load_configurations,https://github.com/arghavanMor/bugs_in_LLMs/tree/master/CoderEval/Codex/plib_runnable/load_configurations,load_configurations,Codex/plib_runnable/load_configurations/buggy,buggy_9.py,plib_runnable,Hallunication,REJECTED
PanGu-Coder/slib_runnable/write_configuration,https://github.com/arghavanMor/bugs_in_LLMs/tree/master/CoderEval/PanGu-Coder/slib_runnable/write_configuration,write_configuration,PanGu-Coder/slib_runnable/write_configuration/buggy,buggy_4.py,slib_runnable,Misinterpretation/Silly Mistake/Missing Corner Case,Missing Corner Case / Silly Mistake
Codex/slib_runnable/_c_optimizations_required,https://github.com/arghavanMor/bugs_in_LLMs/tree/master/CoderEval/Codex/slib_runnable/_c_optimizations_required,_c_optimizations_required,Codex/slib_runnable/_c_optimizations_required/buggy,buggy_4.py,slib_runnable,Hallunication/Prompt-biased code,Hallunication/Prompt-biased code
PanGu-Coder/slib_runnable/prepare_repository_from_archive,https://github.com/arghavanMor/bugs_in_LLMs/tree/master/CoderEval/PanGu-Coder/slib_runnable/prepare_repository_from_archive,prepare_repository_from_archive,PanGu-Coder/slib_runnable/prepare_repository_from_archive/buggy,buggy_2.py,slib_runnable,Hallunication,Hallunication
CodeGen/plib_runnable/gaussian,https://github.com/arghavanMor/bugs_in_LLMs/tree/master/CoderEval/CodeGen/plib_runnable/gaussian,gaussian,CodeGen/plib_runnable/gaussian/buggy,buggy_1.py,plib_runnable,Misinterpretation,Missing Corner Case
PanGu-Coder/self_contained/plus_or_dot,https://github.com/arghavanMor/bugs_in_LLMs/tree/master/CoderEval/PanGu-Coder/self_contained/plus_or_dot,plus_or_dot,PanGu-Coder/self_contained/plus_or_dot/buggy,buggy_3.py,self_contained,Misinterpretation,REJECTED
PanGu-Coder/slib_runnable/oneline,https://github.com/arghavanMor/bugs_in_LLMs/tree/master/CoderEval/PanGu-Coder/slib_runnable/oneline,oneline,PanGu-Coder/slib_runnable/oneline/buggy,buggy_8.py,slib_runnable,Misinterpretation,Misinterpretation
Codex/self_contained/_getTargetClass,https://github.com/arghavanMor/bugs_in_LLMs/tree/master/CoderEval/Codex/self_contained/_getTargetClass,_getTargetClass,Codex/self_contained/_getTargetClass/buggy,buggy_1.py,self_contained,Failure To Generate,REJECTED
Codex/plib_runnable/hydrate_time,https://github.com/arghavanMor/bugs_in_LLMs/tree/master/CoderEval/Codex/plib_runnable/hydrate_time,hydrate_time,Codex/plib_runnable/hydrate_time/buggy,buggy_6.py,plib_runnable,Hallunication/Prompt-biased code,REJECTED
Codex/slib_runnable/write_configuration,https://github.com/arghavanMor/bugs_in_LLMs/tree/master/CoderEval/Codex/slib_runnable/write_configuration,write_configuration,Codex/slib_runnable/write_configuration/buggy,buggy_0.py,slib_runnable,Missing Corner Case,Missing Corner Case
PanGu-Coder/slib_runnable/strip_root,https://github.com/arghavanMor/bugs_in_LLMs/tree/master/CoderEval/PanGu-Coder/slib_runnable/strip_root,strip_root,PanGu-Coder/slib_runnable/strip_root/buggy,buggy_9.py,slib_runnable,Missing Corner Case,Missing Corner Case
Codex/self_contained/get_logical_path_map,https://github.com/arghavanMor/bugs_in_LLMs/tree/master/CoderEval/Codex/self_contained/get_logical_path_map,get_logical_path_map,Codex/self_contained/get_logical_path_map/buggy,buggy_5.py,self_contained,Hallunication (wrong attribute),Wrong Attribute
PanGu-Coder/slib_runnable/make_find_paths,https://github.com/arghavanMor/bugs_in_LLMs/tree/master/CoderEval/PanGu-Coder/slib_runnable/make_find_paths,make_find_paths,PanGu-Coder/slib_runnable/make_find_paths/buggy,buggy_0.py,slib_runnable,Misinterpretation,Misinterpretation
PanGu-Coder/plib_runnable/retrieve_diaspora_host_meta,https://github.com/arghavanMor/bugs_in_LLMs/tree/master/CoderEval/PanGu-Coder/plib_runnable/retrieve_diaspora_host_meta,retrieve_diaspora_host_meta,PanGu-Coder/plib_runnable/retrieve_diaspora_host_meta/buggy,buggy_6.py,plib_runnable,Hallunication,REJECTED
Codex/self_contained/int_to_string,https://github.com/arghavanMor/bugs_in_LLMs/tree/master/CoderEval/Codex/self_contained/int_to_string,int_to_string,Codex/self_contained/int_to_string/buggy,buggy_1.py,self_contained,Misinterpretation,Silly mistakes
Codex/self_contained/round_half_to_even,https://github.com/arghavanMor/bugs_in_LLMs/tree/master/CoderEval/Codex/self_contained/round_half_to_even,round_half_to_even,Codex/self_contained/round_half_to_even/buggy,buggy_5.py,self_contained,Wrong Input Type,Wrong Input Type
CodeGen/self_contained/minimalBases,https://github.com/arghavanMor/bugs_in_LLMs/tree/master/CoderEval/CodeGen/self_contained/minimalBases,minimalBases,CodeGen/self_contained/minimalBases/buggy,buggy_6.py,self_contained,Misinterpretation/Wrong Input Type,Wrong Input Type
PanGu-Coder/self_contained/paging,https://github.com/arghavanMor/bugs_in_LLMs/tree/master/CoderEval/PanGu-Coder/self_contained/paging,paging,PanGu-Coder/self_contained/paging/buggy,buggy_7.py,self_contained,Misinterpretation,Missing Corner Case/ Misinterpretation
PanGu-Coder/plib_runnable/list_of_file_names,https://github.com/arghavanMor/bugs_in_LLMs/tree/master/CoderEval/PanGu-Coder/plib_runnable/list_of_file_names,list_of_file_names,PanGu-Coder/plib_runnable/list_of_file_names/buggy,buggy_7.py,plib_runnable,Misinterpretation,REJECTED
CodeGen/plib_runnable/_extract_number_and_supplment_from_issue_element,https://github.com/arghavanMor/bugs_in_LLMs/tree/master/CoderEval/CodeGen/plib_runnable/_extract_number_and_supplment_from_issue_element,_extract_number_and_supplment_from_issue_element,CodeGen/plib_runnable/_extract_number_and_supplment_from_issue_element/buggy,buggy_2.py,plib_runnable,Synthax Error,Incomplete Generation
Codex/plib_runnable/identify_request,https://github.com/arghavanMor/bugs_in_LLMs/tree/master/CoderEval/Codex/plib_runnable/identify_request,identify_request,Codex/plib_runnable/identify_request/buggy,buggy_8.py,plib_runnable,Hallunication (wrong attribute),REJECTED
PanGu-Coder/self_contained/is_none_string,https://github.com/arghavanMor/bugs_in_LLMs/tree/master/CoderEval/PanGu-Coder/self_contained/is_none_string,is_none_string,PanGu-Coder/self_contained/is_none_string/buggy,buggy_1.py,self_contained,Misinterpretation,Missing Corner Case
Codex/slib_runnable/split,https://github.com/arghavanMor/bugs_in_LLMs/tree/master/CoderEval/Codex/slib_runnable/split,split,Codex/slib_runnable/split/buggy,buggy_1.py,slib_runnable,Misinterpretation,Misinterpretation
Codex/plib_runnable/find_roots,https://github.com/arghavanMor/bugs_in_LLMs/tree/master/CoderEval/Codex/plib_runnable/find_roots,find_roots,Codex/plib_runnable/find_roots/buggy,buggy_2.py,plib_runnable,Misinterpretation,REJECTED
Codex/plib_runnable/tzname_in_python2,https://github.com/arghavanMor/bugs_in_LLMs/tree/master/CoderEval/Codex/plib_runnable/tzname_in_python2,tzname_in_python2,Codex/plib_runnable/tzname_in_python2/buggy,buggy_4.py,plib_runnable,Hallunication/Misinterpretation,Hallunication/Misinterpretation
CodeGen/self_contained/was_processed,https://github.com/arghavanMor/bugs_in_LLMs/tree/master/CoderEval/CodeGen/self_contained/was_processed,was_processed,CodeGen/self_contained/was_processed/buggy,buggy_1.py,self_contained,Incomplete Generation,Incomplete Generation
PanGu-Coder/slib_runnable/make_find_paths,https://github.com/arghavanMor/bugs_in_LLMs/tree/master/CoderEval/PanGu-Coder/slib_runnable/make_find_paths,make_find_paths,PanGu-Coder/slib_runnable/make_find_paths/buggy,buggy_6.py,slib_runnable,Hallunication,Hallunication
CodeGen/plib_runnable/hydrate_time,https://github.com/arghavanMor/bugs_in_LLMs/tree/master/CoderEval/CodeGen/plib_runnable/hydrate_time,hydrate_time,CodeGen/plib_runnable/hydrate_time/buggy,buggy_7.py,plib_runnable,Misinterpretation,REJECTED
Codex/plib_runnable/process_text_links,https://github.com/arghavanMor/bugs_in_LLMs/tree/master/CoderEval/Codex/plib_runnable/process_text_links,process_text_links,Codex/plib_runnable/process_text_links/buggy,buggy_5.py,plib_runnable,Failure To Generate,Failure To Generate
Codex/slib_runnable/_resolve_string,https://github.com/arghavanMor/bugs_in_LLMs/tree/master/CoderEval/Codex/slib_runnable/_resolve_string,_resolve_string,Codex/slib_runnable/_resolve_string/buggy,buggy_5.py,slib_runnable,Hallunication/Synthax Error,Synthax Error/Misinterpretation
PanGu-Coder/plib_runnable/tzname_in_python2,https://github.com/arghavanMor/bugs_in_LLMs/tree/master/CoderEval/PanGu-Coder/plib_runnable/tzname_in_python2,tzname_in_python2,PanGu-Coder/plib_runnable/tzname_in_python2/buggy,buggy_0.py,plib_runnable,Misinterpretation,Wrong Attribute
Codex/self_contained/minimalBases,https://github.com/arghavanMor/bugs_in_LLMs/tree/master/CoderEval/Codex/self_contained/minimalBases,minimalBases,Codex/self_contained/minimalBases/buggy,buggy_6.py,self_contained,Misinterpretation,Misinterpretation
Codex/self_contained/is_none_string,https://github.com/arghavanMor/bugs_in_LLMs/tree/master/CoderEval/Codex/self_contained/is_none_string,is_none_string,Codex/self_contained/is_none_string/buggy,buggy_0.py,self_contained,Missing Corner Case,Missing Corner Case / Prompt biased
Codex/slib_runnable/is_local,https://github.com/arghavanMor/bugs_in_LLMs/tree/master/CoderEval/Codex/slib_runnable/is_local,is_local,Codex/slib_runnable/is_local/buggy,buggy_3.py,slib_runnable,Missing Corner Case,Missing Corner Case
PanGu-Coder/self_contained/is_fill_compute_el,https://github.com/arghavanMor/bugs_in_LLMs/tree/master/CoderEval/PanGu-Coder/self_contained/is_fill_compute_el,is_fill_compute_el,PanGu-Coder/self_contained/is_fill_compute_el/buggy,buggy_4.py,self_contained,Hallunication,Hallunication
PanGu-Coder/slib_runnable/strip_root,https://github.com/arghavanMor/bugs_in_LLMs/tree/master/CoderEval/PanGu-Coder/slib_runnable/strip_root,strip_root,PanGu-Coder/slib_runnable/strip_root/buggy,buggy_4.py,slib_runnable,Missing Corner Case,Missing Corner Case
Codex/self_contained/size_to_bytes,https://github.com/arghavanMor/bugs_in_LLMs/tree/master/CoderEval/Codex/self_contained/size_to_bytes,size_to_bytes,Codex/self_contained/size_to_bytes/buggy,buggy_1.py,self_contained,Missing Corner Case,Missing Corner Case
CodeGen/self_contained/unit_of_work,https://github.com/arghavanMor/bugs_in_LLMs/tree/master/CoderEval/CodeGen/self_contained/unit_of_work,unit_of_work,CodeGen/self_contained/unit_of_work/buggy,buggy_0.py,self_contained,Hallunication/Prompt-biased code,Hallunication
CodeGen/plib_runnable/is_ipv4,https://github.com/arghavanMor/bugs_in_LLMs/tree/master/CoderEval/CodeGen/plib_runnable/is_ipv4,is_ipv4,CodeGen/plib_runnable/is_ipv4/buggy,buggy_9.py,plib_runnable,Missing Corner Case,Missing Corner Case
Codex/slib_runnable/regex_dict,https://github.com/arghavanMor/bugs_in_LLMs/tree/master/CoderEval/Codex/slib_runnable/regex_dict,regex_dict,Codex/slib_runnable/regex_dict/buggy,buggy_8.py,slib_runnable,Missing Corner Case,Missing Corner Case/ NPC
PanGu-Coder/self_contained/is_none_string,https://github.com/arghavanMor/bugs_in_LLMs/tree/master/CoderEval/PanGu-Coder/self_contained/is_none_string,is_none_string,PanGu-Coder/self_contained/is_none_string/buggy,buggy_7.py,self_contained,Misinterpretation,Misinterpretation
CodeGen/self_contained/register_vcs_handler,https://github.com/arghavanMor/bugs_in_LLMs/tree/master/CoderEval/CodeGen/self_contained/register_vcs_handler,register_vcs_handler,CodeGen/self_contained/register_vcs_handler/buggy,buggy_7.py,self_contained,,REJECTED
CodeGen/self_contained/int_to_string,https://github.com/arghavanMor/bugs_in_LLMs/tree/master/CoderEval/CodeGen/self_contained/int_to_string,int_to_string,CodeGen/self_contained/int_to_string/buggy,buggy_3.py,self_contained,Synthax Error,Synthax Error/Misinterpretation/NPC
CodeGen/slib_runnable/files_list_from_zipfile,https://github.com/arghavanMor/bugs_in_LLMs/tree/master/CoderEval/CodeGen/slib_runnable/files_list_from_zipfile,files_list_from_zipfile,CodeGen/slib_runnable/files_list_from_zipfile/buggy,buggy_2.py,slib_runnable,Misinterpretation,Misinterpretation
Codex/slib_runnable/_c_optimizations_required,https://github.com/arghavanMor/bugs_in_LLMs/tree/master/CoderEval/Codex/slib_runnable/_c_optimizations_required,_c_optimizations_required,Codex/slib_runnable/_c_optimizations_required/buggy,buggy_1.py,slib_runnable,Hallunication,Hallunication
